piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
0.0019279,0.0033548,0.0072454,0.00058127,0.0024207,0.0042434,0.0079883,0.004608,0.001694,0,-4.4844e-05,0.0022198,0.009023,0.0032895,-0.00072122,0.00055353,0.011082,0.0068248,0.0025925
0.001005,0.00069981,0.0038443,0.00010521,0.0010488,0.0026902,0.00018184,0.0013711,0.00098243,0,-8.0583e-05,0.0039888,0.0082717,0.0022006,-0.00086131,-0.00021383,0.011334,0.0088555,0.0040959
0.00047487,0.00016109,0.0020964,-2.1419e-05,0.0004241,0.0016937,-0.001162,-3.2054e-08,0.00051952,0,-0.00010797,0.0053446,0.0075284,0.0014897,-0.00077572,-0.00046219,0.009722,0.0088555,0.004891
0.00016577,-8.955e-05,0.0011475,-4.7295e-05,0.00014646,0.0010483,-0.0011426,-0.0004959,0.00022244,0,-0.00012825,0.0063482,0.0068392,0.00099752,-0.000619,-0.00048007,0.0081369,0.008121,0.0052314
-1.3955e-05,-0.00020698,0.00061254,-4.4138e-05,2.7859e-05,0.00062882,-0.00091572,-0.00061451,3.5846e-05,0,-0.00014263,0.0070602,0.0062127,0.00064397,-0.00044995,-0.00039757,0.0068666,0.0072109,0.0052863
-0.00011621,-0.0002578,0.00030311,-3.3792e-05,-1.9206e-05,0.00035611,-0.00071306,-0.00058716,-7.7788e-05,0,-0.0001522,0.007534,0.0056469,0.00038398,-0.00029187,-0.00027735,0.0058774,0.0063413,0.0051672
-0.00017152,-0.0002739,0.00012116,-2.3057e-05,-3.5015e-05,0.00017923,-0.00056237,-0.00051453,-0.00014379,0,-0.00015789,0.0078156,0.0051366,0.00019011,-0.00015341,-0.0001503,0.0050973,0.0055792,0.0049472
-0.00019829,-0.00027171,1.3439e-05,-1.3885e-05,-3.7814e-05,6.5139e-05,-0.00045353,-0.00043699,-0.00017909,0,-0.00016047,0.0079433,0.0046763,4.4566e-05,-3.6756e-05,-3.1307e-05,0.0044681,0.004932,0.0046731
-0.00020779,-0.00026008,-5.0028e-05,-6.6127e-06,-3.5678e-05,-7.7373e-06,-0.00037393,-0.00036847,-0.0001949,0,-0.00016059,0.007949,0.0042608,-6.4725e-05,5.8805e-05,7.3059e-05,0.0039494,0.0043863,0.0043748
-0.00020699,-0.00024391,-8.6611e-05,-1.0612e-06,-3.205e-05,-5.35e-05,-0.00031423,-0.00031202,-0.00019856,0,-0.00015877,0.0078593,0.0038852,-0.00014632,0.00013522,0.00016063,0.0035135,0.0039241,0.004071
-0.00020021,-0.00022594,-0.00010663,3.0757e-06,-2.8303e-05,-8.1404e-05,-0.00026823,-0.00026671,-0.00019488,0,-0.00015548,0.0076961,0.0035454,-0.00020645,0.00019485,0.00023152,0.0031414,0.0035291,0.0037727
-0.00019017,-0.0002077,-0.00011636,6.0972e-06,-2.4916e-05,-9.7541e-05,-0.00023183,-0.00023051,-0.00018693,0,-0.00015105,0.0074772,0.0032375,-0.00024983,0.00024012,0.00028697,0.0028198,0.0031877,0.0034867
-0.00017853,-0.00019002,-0.00011967,8.2557e-06,-2.2e-05,-0.00010593,-0.00020237,-0.00020137,-0.00017669,0,-0.00014581,0.0072174,0.0029582,-0.00028002,0.00027327,0.00032871,0.0025391,0.0028894,0.0032163
-0.00016631,-0.00017334,-0.000119,9.7522e-06,-1.9526e-05,-0.00010923,-0.00017804,-0.00017761,-0.0001654,0,-0.00013997,0.0069287,0.0027046,-0.00029983,0.00029636,0.0003586,0.0022921,0.0026264,0.0029631
-0.00015414,-0.00015785,-0.0001159,1.0742e-05,-1.7429e-05,-0.00010921,-0.00015761,-0.00015792,-0.00015384,0,-0.00013375,0.0066207,0.0024742,-0.00031146,0.00031116,0.00037848,0.0020734,0.0023925,0.0027277
-0.00014237,-0.00014362,-0.00011134,1.1345e-05,-1.5637e-05,-0.00010705,-0.00014022,-0.00014133,-0.00014246,0,-0.0001273,0.0063014,0.0022645,-0.00031668,0.00031922,0.00039004,0.0018789,0.0021832,0.0025097
-0.00013121,-0.00013062,-0.00010597,1.1653e-05,-1.4093e-05,-0.00010353,-0.00012524,-0.00012715,-0.00013154,0,-0.00012074,0.0059769,0.0020736,-0.00031688,0.00032185,0.00039478,0.0017052,0.0019949,0.0023084
-0.00012074,-0.0001188,-0.0001002,1.1737e-05,-1.2747e-05,-9.9194e-05,-0.00011223,-0.00011485,-0.00012122,0,-0.00011419,0.0056522,0.0018996,-0.0003132,0.00032017,0.00039402,0.0015495,0.0018248,0.0021229
-0.000111,-0.00010808,-9.4301e-05,1.165e-05,-1.1564e-05,-9.4387e-05,-0.00010084,-0.00010408,-0.00011157,0,-0.0001077,0.0053312,0.0017409,-0.00030657,0.00031511,0.00038889,0.0014096,0.0016706,0.0019521
-0.00010199,-9.8359e-05,-8.8433e-05,1.1436e-05,-1.0515e-05,-8.9354e-05,-9.0811e-05,-9.4557e-05,-0.0001026,0,-0.00010135,0.0050168,0.0015961,-0.00029771,0.00030746,0.00038037,0.0012836,0.0015306,0.0017951
-9.3676e-05,-8.956e-05,-8.2709e-05,1.1127e-05,-9.5789e-06,-8.4257e-05,-8.1939e-05,-8.6074e-05,-9.4308e-05,0,-9.518e-05,0.0047114,0.0014639,-0.00028724,0.00029785,0.00036926,0.00117,0.0014031,0.0016508
-8.6031e-05,-8.1595e-05,-7.7194e-05,1.075e-05,-8.7393e-06,-7.9205e-05,-7.4059e-05,-7.8475e-05,-8.6661e-05,0,-8.9225e-05,0.0044167,0.0013431,-0.00027563,0.00028682,0.00035623,0.0010672,0.0012868,0.0015182
-7.9008e-05,-7.4382e-05,-7.1927e-05,1.0326e-05,-7.9829e-06,-7.427e-05,-6.7037e-05,-7.1637e-05,-7.9624e-05,0,-8.3508e-05,0.0041337,0.0012326,-0.00026327,0.0002748,0.00034185,0.00097424,0.0011807,0.0013963
-7.2561e-05,-6.7848e-05,-6.6931e-05,9.8698e-06,-7.299e-06,-6.9501e-05,-6.076e-05,-6.5463e-05,-7.3157e-05,0,-7.8046e-05,0.0038633,0.0011315,-0.00025048,0.00026215,0.00032656,0.00088995,0.0010838,0.0012844
-6.6648e-05,-6.1925e-05,-6.2212e-05,9.3952e-06,-6.6792e-06,-6.4928e-05,-5.5138e-05,-5.9871e-05,-6.7218e-05,0,-7.2846e-05,0.0036059,0.001039,-0.0002375,0.00024915,0.00031075,0.00081346,0.00099511,0.0011815
-6.1225e-05,-5.6553e-05,-5.7773e-05,8.9118e-06,-6.1161e-06,-6.0568e-05,-5.009e-05,-5.4797e-05,-6.1766e-05,0,-6.7914e-05,0.0033618,0.0009543,-0.00022453,0.00023603,0.0002947,0.00074398,0.00091395,0.001087
-5.6251e-05,-5.1676e-05,-5.3607e-05,8.4277e-06,-5.6038e-06,-5.6431e-05,-4.555e-05,-5.0184e-05,-5.6763e-05,0,-6.325e-05,0.0031309,0.0008767,-0.00021172,0.00022297,0.00027865,0.00068079,0.00083963,0.0010001
-5.169e-05,-4.7245e-05,-4.9709e-05,7.9488e-06,-5.1369e-06,-5.252e-05,-4.1459e-05,-4.5983e-05,-5.2173e-05,0,-5.8851e-05,0.0029131,0.00080558,-0.00019918,0.00021011,0.0002628,0.00062328,0.00077152,0.00092025
-4.7506e-05,-4.3217e-05,-4.6066e-05,7.4797e-06,-4.711e-06,-4.8834e-05,-3.7768e-05,-4.2154e-05,-4.7959e-05,0,-5.4712e-05,0.0027082,0.00074037,-0.00018702,0.00019756,0.00024729,0.00057089,0.00070909,0.00084686
-4.3668e-05,-3.9552e-05,-4.2667e-05,7.0239e-06,-4.3221e-06,-4.5369e-05,-3.4433e-05,-3.8659e-05,-4.4093e-05,0,-5.0824e-05,0.0025158,0.00068057,-0.00017528,0.0001854,0.00023222,0.00052312,0.00065183,0.00077938
-4.0146e-05,-3.6214e-05,-3.9501e-05,6.5839e-06,-3.9666e-06,-4.2118e-05,-3.1415e-05,-3.5468e-05,-4.0543e-05,0,-4.7179e-05,0.0023354,0.0006257,-0.00016402,0.00017369,0.00021768,0.00047954,0.0005993,0.00071733
-3.6913e-05,-3.3173e-05,-3.6554e-05,6.1616e-06,-3.6415e-06,-3.9075e-05,-2.8681e-05,-3.255e-05,-3.7285e-05,0,-4.3768e-05,0.0021665,0.00057535,-0.00015326,0.00016247,0.00020373,0.00043975,0.00055109,0.00066028
-3.3946e-05,-3.0399e-05,-3.3815e-05,5.7582e-06,-3.344e-06,-3.6229e-05,-2.6202e-05,-2.9882e-05,-3.4292e-05,0,-4.058e-05,0.0020087,0.00052912,-0.00014303,0.00015177,0.00019039,0.0004034,0.00050684,0.0006078
-3.1221e-05,-2.7868e-05,-3.127e-05,5.3742e-06,-3.0716e-06,-3.3573e-05,-2.3952e-05,-2.744e-05,-3.1544e-05,0,-3.7605e-05,0.0018614,0.00048668,-0.00013333,0.00014159,0.0001777,0.00037018,0.00046619,0.00055952
-2.8718e-05,-2.5557e-05,-2.8908e-05,5.01e-06,-2.822e-06,-3.1096e-05,-2.1907e-05,-2.5204e-05,-2.9019e-05,0,-3.4831e-05,0.0017241,0.00044769,-0.00012416,0.00013195,0.00016567,0.00033979,0.00042886,0.00051512
-2.642e-05,-2.3445e-05,-2.6716e-05,4.6657e-06,-2.5933e-06,-2.8789e-05,-2.0047e-05,-2.3156e-05,-2.6699e-05,0,-3.2247e-05,0.0015962,0.00041188,-0.00011551,0.00012284,0.00015429,0.00031198,0.00039457,0.00047426
-2.4307e-05,-2.1515e-05,-2.4685e-05,4.341e-06,-2.3835e-06,-2.6642e-05,-1.8354e-05,-2.1278e-05,-2.4567e-05,0,-2.9843e-05,0.0014772,0.00037897,-0.00010738,0.00011426,0.00014355,0.00028652,0.00036305,0.00043666
-2.2366e-05,-1.9749e-05,-2.2802e-05,4.0354e-06,-2.1912e-06,-2.4647e-05,-1.6811e-05,-1.9557e-05,-2.2607e-05,0,-2.7608e-05,0.0013666,0.00034872,-9.9737e-05,0.00010619,0.00013345,0.00026319,0.00033409,0.00040206
-2.0582e-05,-1.8133e-05,-2.1059e-05,3.7485e-06,-2.0146e-06,-2.2793e-05,-1.5405e-05,-1.7978e-05,-2.0805e-05,0,-2.5532e-05,0.0012638,0.00032092,-9.2577e-05,9.8619e-05,0.00012397,0.00024182,0.00030746,0.00037022
-1.8942e-05,-1.6653e-05,-1.9445e-05,3.4795e-06,-1.8526e-06,-2.1072e-05,-1.4122e-05,-1.653e-05,-1.9149e-05,0,-2.3605e-05,0.0011684,0.00029536,-8.5877e-05,9.1524e-05,0.00011508,0.00022223,0.00028298,0.00034092
