psi,regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
0.00500000,float,piDC,0.7329840152,10.16938422,83.6183026,0.2196973795,0.1111888209,0.3119507329,4.836492233
0.00500000,float,PIC,0.8523176568,8.081976068,38.15921701,1.685205936,0.3898944565,0.6032256144,50.22816326
0.00500000,float,y_gap,0.09237413263,0.5170555744,0.9590456565,2.692373652,0.9814465192,0.918368248,93.83933622
0.00500000,float,y_gap1,1.872436559,8.519983764,72.71266917,0.48945797,0.4464733573,0.579082047,15.37989714
0.00500000,float,y_gap2,1.633229302,31.71272604,55.77998662,0.2355069651,0.5135740964,0.7426008943,9.38237608
0.00500000,float,y_gap3,0.346395277,9.385659237,19.68375724,2.127224076,0.3700168513,0.2767024608,67.81024486
0.00500000,float,PI1,79.85462849,2.192395655,12.08442997,0.1315102827,0.1232698795,0.1892628614,5.424502857
0.00500000,float,PI2,1.32543162,56.2224502,29.6122195,0.4534807799,0.2066386531,0.4163297383,11.76344951
0.00500000,float,PI3,0.6592259233,8.406433917,86.12983597,0.1977575808,0.09685176635,0.283370403,4.226524438
0.00500000,float,I,0.1857471336,4.869683465,34.73362971,1.845824251,0.1530084148,0.04728366049,58.16482336
0.00500000,float,BSTAR,0.01878489042,0.5773449672,3.614044939,5.223940422,0.8993179838,1.325975775,88.34059102
0.00500000,peg,piDC,0.003837070511,0.5333289687,21.76007827,7.168901263,0.7158660134,1.094574274,68.72341415
0.00500000,peg,PIC,0.323048649,2.50293388,10.08014966,19.76579189,0.552901074,0.805084792,65.97009006
0.00500000,peg,y_gap,0.03525033605,0.5145841853,4.819525107,4.798499432,0.9013014169,1.117062981,87.81377654
0.00500000,peg,y_gap1,0.7266382098,4.743167232,14.33498736,5.351190303,1.260907767,1.488103245,72.09500589
0.00500000,peg,y_gap2,0.2247954051,4.764363608,2.24884189,3.995697411,0.8858560754,1.088144863,86.79230075
0.00500000,peg,y_gap3,0.006668333861,0.192657912,7.783303466,4.905040917,0.8607025142,1.072163794,85.17946306
0.00500000,peg,PI1,7.122825831,0.106631275,1.860773486,3.524985696,0.3966821303,0.4632945795,86.524807
0.00500000,peg,PI2,0.2081014749,21.45791558,1.699627023,7.465853179,0.4919438106,0.6849670449,67.99159189
0.00500000,peg,PI3,0.00262096891,0.06448311663,25.91857724,6.825594438,0.721100012,1.115347668,65.35227656
0.00500000,peg,I,0.0001360845769,0.0044030887,0.02852124198,0.03813464534,0.006550041642,0.009682266464,99.91257263
0.00500000,peg,BSTAR,0.01711205338,0.5536695675,3.586424164,4.79526851,0.8236397153,1.217503587,89.0063824
0.00500000,managed,piDC,0.2838701368,4.905992151,79.95071132,5.592512117,0.1555587151,0.2234468698,8.887908691
0.00500000,managed,PIC,1.153282525,7.745762689,20.97504324,9.838801839,0.3805507535,0.4563223339,59.45023662
0.00500000,managed,y_gap,0.6970584606,7.019825764,24.61914066,22.53312127,5.31574244,6.77009681,33.0450146
0.00500000,managed,y_gap1,2.432556272,11.97751499,80.13132768,1.981859762,0.9724855543,1.240873588,1.263382163
0.00500000,managed,y_gap2,2.005578758,36.93758647,44.8384494,2.486697292,1.385621372,1.925926609,10.4201401
0.00500000,managed,y_gap3,0.03095317705,6.696440474,50.30245997,16.52155027,2.838346994,3.49781603,20.11243308
0.00500000,managed,PI1,84.88794089,0.668837562,1.568891306,2.097339615,0.013800606,0.01611522771,10.74707479
0.00500000,managed,PI2,1.473926339,88.86253031,3.655937215,4.632010366,0.0314281199,0.04564380401,1.298523845
0.00500000,managed,PI3,0.1591414596,1.522881187,84.14604474,4.807250929,0.155734712,0.2247503913,8.984196586
0.00500000,managed,I,0.03271860839,1.448985455,9.783617015,2.236709501,0.2942830704,0.2395273876,85.96415896
0.00500000,managed,BSTAR,0.01830370929,0.57003587,3.602647573,5.130320717,0.8826931091,1.301402544,88.49459648
0.01000000,float,piDC,0.7381568034,10.29233479,84.42529154,0.1679843146,0.1291666463,0.3497647239,3.897301174
0.01000000,float,PIC,0.9119849438,8.692556234,40.88660012,1.512945512,0.4774324527,0.7318000143,46.78668072
0.01000000,float,y_gap,0.09432031239,0.5194070563,0.9662222614,2.646786442,0.9790035365,0.9054841492,93.88877624
0.01000000,float,y_gap1,1.911833134,8.732969485,73.72945852,0.4367343936,0.4253334573,0.5518874324,14.21178358
0.01000000,float,y_gap2,1.633507701,31.59629423,55.94459624,0.2263656559,0.5271111514,0.767803239,9.304321778
0.01000000,float,y_gap3,0.3705095033,9.847619673,21.11228765,2.006310673,0.3664106964,0.2725933458,66.02426845
0.01000000,float,PI1,79.71151984,2.214772561,12.22964638,0.1284172449,0.1239181339,0.1916933768,5.400032465
0.01000000,float,PI2,1.346490193,57.02803187,30.37359184,0.3765724392,0.2375936887,0.4698441078,10.16787587
0.01000000,float,PI3,0.6641433088,8.524758935,86.86674807,0.1492917604,0.113296987,0.3185701226,3.363190819
0.01000000,float,I,0.19736485,5.184589601,36.97587038,1.715513115,0.136486708,0.03718598715,55.75298936
0.01000000,float,BSTAR,0.01671159049,0.5192571514,3.1380211,4.989443372,0.9088677751,1.268234698,89.15946431
0.01000000,peg,piDC,0.003628377078,0.5062764582,23.06244141,10.11470609,1.069760316,1.625760419,63.61742692
0.01000000,peg,PIC,0.3526149764,2.581045642,10.11727225,24.36276525,0.7935393875,1.152947324,60.63981517
0.01000000,peg,y_gap,0.04288782502,0.56036574,4.989679906,6.348435346,1.195886771,1.489948772,85.37279564
0.01000000,peg,y_gap1,0.7908685501,5.026356378,16.03923209,6.483499648,1.51157301,1.787811243,68.36065908
0.01000000,peg,y_gap2,0.2591820269,5.182228329,2.659122379,5.234847183,1.154134165,1.424464614,84.0860213
0.01000000,peg,y_gap3,0.009090145981,0.2511103351,8.138819008,6.487427484,1.1465123,1.435737824,82.5313029
0.01000000,peg,PI1,7.945197713,0.08855141804,1.77316059,4.570931773,0.5370942514,0.6345329512,84.4505313
0.01000000,peg,PI2,0.224164666,23.64042855,1.54952561,9.776583915,0.7055910111,0.9822579147,63.12144834
0.01000000,peg,PI3,0.004642639509,0.08435725942,27.56562034,9.662310996,1.075041621,1.651440087,59.95658706
0.01000000,peg,I,0.000281392655,0.009247345745,0.05808163859,0.08427669422,0.01533127722,0.02144300169,99.81133865
0.01000000,peg,BSTAR,0.01516736243,0.4984417394,3.130661896,4.542603166,0.8263720959,1.155800524,89.83095322
0.01000000,managed,piDC,0.2806090671,4.777536386,79.55838803,6.636990951,0.2028929066,0.2940572891,8.249525375
0.01000000,managed,PIC,1.231015015,8.156606796,21.58949076,10.31003493,0.4562143692,0.5474881209,57.70915001
0.01000000,managed,y_gap,0.7573197182,7.497391686,25.56029789,26.83649564,6.230935334,7.983569679,25.13399005
0.01000000,managed,y_gap1,2.431685336,11.95749963,80.1439565,1.994197158,0.9721505283,1.238265568,1.262245276
0.01000000,managed,y_gap2,2.044729843,37.03642018,46.76325395,2.916057426,1.543468856,2.148276131,7.547793615
0.01000000,managed,y_gap3,0.02979398574,7.357256671,50.65233592,19.25148908,3.309193038,4.110866733,15.28906457
0.01000000,managed,PI1,86.56011739,0.6677705447,1.673046916,2.460067047,0.02474411757,0.02935304329,8.584900942
0.01000000,managed,PI2,1.46334453,88.43848488,3.479515458,4.975514878,0.03225915222,0.04535843425,1.565522673
0.01000000,managed,PI3,0.1552465969,1.426967857,83.91911587,5.743577091,0.2038220161,0.2969630816,8.25430749
0.01000000,managed,I,0.03315801092,1.495859486,10.17538962,2.269272078,0.2900601442,0.2342865956,85.50197407
0.01000000,managed,BSTAR,0.01631049887,0.5136069773,3.136783166,4.892513536,0.8911072224,1.243305054,89.30637355
0.02000000,float,piDC,0.743396001,10.42142926,85.25132069,0.1178979365,0.1533521434,0.3968376505,2.915766323
0.02000000,float,PIC,0.989489919,9.483887355,44.36201362,1.30990816,0.6050154216,0.9115369335,42.33814859
0.02000000,float,y_gap,0.09822044977,0.5336874633,0.9856451678,2.583222016,0.9745267621,0.8877523933,93.93694575
0.02000000,float,y_gap1,1.960313277,9.00338627,75.00910598,0.3754146637,0.3984427661,0.5202443631,12.73309268
0.02000000,float,y_gap2,1.63541663,31.54710884,56.16583344,0.217457541,0.5330599815,0.7821633892,9.118960182
0.02000000,float,y_gap3,0.4057485035,10.52417042,23.24161951,1.851326349,0.3616728814,0.2703024213,63.34515992
0.02000000,float,PI1,79.61005073,2.243060182,12.3861898,0.1237890067,0.1266573744,0.1969743796,5.313278522
0.02000000,float,PI2,1.371875422,58.01766463,31.18198215,0.2932934436,0.2801764868,0.5389232493,8.316084623
0.02000000,float,PI3,0.6689766886,8.644331295,87.61317155,0.1029475139,0.1353577412,0.3622659628,2.472949253
0.02000000,float,I,0.2143730427,5.648286651,40.20268415,1.545705079,0.115154006,0.02859378102,52.24520329
0.02000000,float,BSTAR,0.01462417758,0.4608466629,2.661417364,4.717414367,0.9192510722,1.201253449,90.02519291
0.02000000,peg,piDC,0.003693895496,0.4713374364,24.84643753,14.59278229,1.632877064,2.4494412,56.00343058
0.02000000,peg,PIC,0.3907886477,2.674543139,10.18641208,30.84509345,1.164159422,1.673746281,53.06525698
0.02000000,peg,y_gap,0.05441637255,0.631956068,5.267337971,8.82569498,1.677203053,2.086906316,81.45648524
0.02000000,peg,y_gap1,0.878491968,5.412218068,18.39268351,8.115516578,1.880037572,2.219879744,63.10117256
0.02000000,peg,y_gap2,0.3091556179,5.781606283,3.280223175,7.190042774,1.583253824,1.950765043,79.90495328
0.02000000,peg,y_gap3,0.01296215213,0.3467144577,8.682720425,9.006906588,1.613275325,2.017503134,78.31991792
0.02000000,peg,PI1,9.141600955,0.06800425465,1.684787625,6.197651764,0.7665174287,0.9081234887,81.23331448
0.02000000,peg,PI2,0.245987825,26.61010592,1.380565766,13.24364247,1.049853429,1.448379713,56.02146488
0.02000000,peg,PI3,0.007959755543,0.1262488864,29.76276756,13.9105,1.628512655,2.468398064,52.09561309
0.02000000,peg,I,0.0005577214121,0.01870345755,0.1128970941,0.1793234089,0.03494469729,0.04575411971,99.6078195
0.02000000,peg,BSTAR,0.01321408085,0.4431405982,2.674868307,4.248705486,0.8279439252,1.084051327,90.70807628
0.04000000,float,piDC,0.7481792645,10.54230618,86.00416575,0.07513717569,0.1818633191,0.4480222311,2.000326079
0.04000000,float,PIC,1.086277288,10.46520542,48.59037535,1.083713365,0.7853972634,1.152778633,36.83625268
0.04000000,float,y_gap,0.105834906,0.5776779398,1.027042147,2.501997374,0.9667571786,0.8658850185,93.95480544
0.04000000,float,y_gap1,2.017406672,9.333121103,76.5440156,0.3079763909,0.3659568554,0.4856356701,10.94588771
0.04000000,float,y_gap2,1.641802773,31.64678744,56.5016642,0.2047847187,0.5268079593,0.7809331592,8.697219755
0.04000000,float,y_gap3,0.4565961008,11.49449301,26.38479663,1.658184894,0.3553283209,0.2713639099,59.37923713
0.04000000,float,PI1,79.61293893,2.275901114,12.5378539,0.1168123702,0.1326703319,0.2059640525,5.117859308
0.04000000,float,PI2,1.400253487,59.1478233,31.95304118,0.2110011182,0.3346940156,0.6210689298,6.332117967
0.04000000,float,PI3,0.6731812824,8.749892163,88.28339975,0.06411988256,0.1610865385,0.4093516276,1.65896876
0.04000000,float,I,0.2380976307,6.299464951,44.62081342,1.338530141,0.0905096705,0.02581939358,47.3867648
0.04000000,float,BSTAR,0.01266767796,0.4062799789,2.217428088,4.420430725,0.9299591777,1.128145718,90.88508863
0.04000000,peg,piDC,0.004131455217,0.4256446897,27.10282739,20.89388444,2.463660968,3.628297829,45.48155323
0.04000000,peg,PIC,0.4357568405,2.771512738,10.28012916,39.34727782,1.694993937,2.394080712,43.07624879
0.04000000,peg,y_gap,0.07157596932,0.7389988002,5.684585846,12.75724468,2.461858253,3.035373927,75.25036253
0.04000000,peg,y_gap1,0.9934678964,5.911173285,21.52522251,10.40825551,2.41026536,2.826113919,55.92550152
0.04000000,peg,y_gap2,0.3807714404,6.618554179,4.201796015,10.25193448,2.267907234,2.767945321,73.51109133
0.04000000,peg,y_gap3,0.0190193043,0.498933951,9.465925372,12.97224664,2.370611458,2.93728662,71.73597665
0.04000000,peg,PI1,10.86549386,0.04605296143,1.6011105,8.720079353,1.142642264,1.34362146,76.2809996
0.04000000,peg,PI2,0.2735200723,30.38085212,1.194174832,18.16012705,1.576304431,2.137524434,46.27749705
0.04000000,peg,PI3,0.01275137067,0.1949487389,32.45457161,19.74608562,2.42385621,3.607423547,41.5603629
0.04000000,peg,I,0.001062910106,0.03656680215,0.2100798985,0.3664410692,0.07724033809,0.09383275754,99.21477622
0.04000000,peg,BSTAR,0.01138900339,0.3918105877,2.250990616,3.926389027,0.8276245251,1.005411076,91.58638517
0.04000000,managed,piDC,0.2808864683,4.682386992,80.3078297,8.347741898,0.2690753217,0.3997652468,5.712314369
0.04000000,managed,PIC,1.487876881,9.700155325,24.81015058,11.36092875,0.7130112903,0.8420207804,51.08585639
0.04000000,managed,y_gap,0.8439887491,7.974713289,25.65862874,36.31061994,8.218753967,10.52580906,10.46748625
0.04000000,managed,y_gap1,2.428955413,11.92176328,80.17140726,2.018834201,0.9687672838,1.232408081,1.257864484
0.04000000,managed,y_gap2,2.094783756,36.61540888,50.11026928,4.030578954,1.897048437,2.612651882,2.639258815
0.04000000,managed,y_gap3,0.02732904294,8.655926815,49.19489507,25.38337148,4.403744793,5.490562214,6.844170588
0.04000000,managed,PI1,89.76257132,0.6891464891,2.029676897,3.397544061,0.06727034997,0.07961968441,3.974171198
0.04000000,managed,PI2,1.447160876,87.78083476,3.419987078,5.502779576,0.0262141861,0.03662285634,1.78640067
0.04000000,managed,PI3,0.1537368142,1.377257073,84.96306461,7.259502161,0.2739852291,0.4085641,5.563890016
0.04000000,managed,I,0.04046345841,1.888407321,12.96728274,2.285698371,0.260665934,0.2058985871,82.35158359
0.04000000,managed,BSTAR,0.01240984257,0.4036415139,2.231641269,4.317449725,0.9092417228,1.102628456,91.02298747
0.08000000,float,piDC,0.7520443544,10.64252878,86.60882453,0.0431616198,0.2115758284,0.497008625,1.244856264
0.08000000,float,PIC,1.20051376,11.61202124,53.44384399,0.8474171492,1.028997662,1.45971603,30.40749017
0.08000000,float,y_gap,0.1202848513,0.6862168515,1.105426956,2.407425981,0.95392728,0.8423573671,93.88436071
0.08000000,float,y_gap1,2.080925966,9.714451294,78.26980884,0.2386514762,0.3293566057,0.4505563524,8.916249465
0.08000000,float,y_gap2,1.655598421,31.97349725,57.0091207,0.1841655054,0.5058772564,0.7633539027,7.908386964
0.08000000,float,y_gap3,0.5277284837,12.83015155,30.89121347,1.426717584,0.3468803198,0.2774235248,53.69988507
0.08000000,float,PI1,79.78520534,2.311157707,12.6729831,0.1065720567,0.1432709605,0.219355461,4.761455377
0.08000000,float,PI2,1.428804315,60.30827256,32.60566975,0.1381009077,0.3986441787,0.7099320076,4.410576284
0.08000000,float,PI3,0.6763592016,8.830554836,88.81128209,0.03581066992,0.1874531305,0.4537891591,1.004750913
0.08000000,float,I,0.2694145757,7.165711388,50.34150556,1.10152359,0.06657088712,0.0347945414,41.02047946
0.08000000,float,BSTAR,0.01095534756,0.3588596167,1.83132904,4.116785102,0.9404550185,1.053438418,91.68817746
0.08000000,peg,piDC,0.004887118582,0.3678314521,29.577148,28.63433031,3.534344223,5.097230511,32.78422839
0.08000000,peg,PIC,0.4813877148,2.84927808,10.36322073,49.22630609,2.367358449,3.269992616,31.44245632
0.08000000,peg,y_gap,0.09609233566,0.8879155819,6.248138545,18.76638821,3.698840647,4.486176969,65.81644771
0.08000000,peg,y_gap1,1.134751489,6.504670751,25.44404193,13.47012444,3.138595995,3.633374464,46.67444092
0.08000000,peg,y_gap2,0.4794063036,7.723258967,5.508765572,14.87995281,3.327124288,3.992749633,64.08874243
0.08000000,peg,y_gap3,0.02801987455,0.7282816812,10.49342327,18.94014404,3.550606224,4.327275157,61.93224976
0.08000000,peg,PI1,13.28351948,0.02485020787,1.523091239,12.54743589,1.748656184,2.020890719,68.85155628
0.08000000,peg,PI2,0.3039887544,34.61199319,0.9932363669,24.41324229,2.300179815,3.048797521,34.32856207
0.08000000,peg,PI3,0.01857165955,0.2842267381,35.30390156,26.68378974,3.413750187,4.978463332,29.31729678
0.08000000,peg,I,0.001964424573,0.06969758249,0.3775747357,0.7206681778,0.1653732952,0.1853561878,98.4793656
0.08000000,peg,BSTAR,0.009798422274,0.3476470179,1.883318276,3.594646097,0.8248712632,0.9245446344,92.41517429
0.08000000,managed,piDC,0.2853390367,4.746491857,81.56520478,8.7358238,0.2720107423,0.4125609799,3.982568809
0.08000000,managed,PIC,1.686870139,10.99517853,27.81432193,11.88028042,0.9340194884,1.081186258,45.60814324
0.08000000,managed,y_gap,0.8553187093,7.867850095,24.78591607,39.93454155,8.967093181,11.42676833,6.162512064
0.08000000,managed,y_gap1,2.429095037,11.92079634,80.21954963,2.022219508,0.9626851589,1.226757647,1.218896674
0.08000000,managed,y_gap2,2.098101051,36.09620285,51.14227402,4.591252676,2.048838937,2.795454896,1.22787557
0.08000000,managed,y_gap3,0.02692336378,9.134182953,47.66262735,27.89159635,4.873534021,6.055238846,4.355897113
0.08000000,managed,PI1,90.79986757,0.7142109202,2.254266759,3.89559581,0.09913322092,0.1151654904,2.121760226
0.08000000,managed,PI2,1.446359612,87.79880692,3.516579616,5.591758482,0.01948532601,0.02854166961,1.598468377
0.08000000,managed,PI3,0.1567012103,1.430991633,86.303358,7.590507567,0.2800733606,0.4253108569,3.813057371
0.08000000,managed,I,0.05018215559,2.362001987,16.0991279,2.260894785,0.2347787352,0.1859491093,78.80706533
0.08000000,managed,BSTAR,0.01075352129,0.357440887,1.85025222,4.011367329,0.9179495691,1.027711771,91.8245247
0.02000000,managed,piDC,0.2792435368,4.693001172,79.60556748,7.612518529,0.2442054714,0.3576926338,7.207771176
0.02000000,managed,PIC,1.339099347,8.77926198,22.78858262,10.82827081,0.561914451,0.6713309454,55.03153985
0.02000000,managed,y_gap,0.8101952954,7.850881365,25.97309067,31.68317132,7.25204866,9.30967829,17.12093441
0.02000000,managed,y_gap1,2.430244312,11.93705731,80.1535052,2.007630058,0.9713024902,1.235744488,1.264516141
0.02000000,managed,y_gap2,2.076405318,36.94322805,48.59864312,3.445950811,1.720320652,2.38668909,4.828762962
0.02000000,managed,y_gap3,0.02845005553,8.040899226,50.30359849,22.34531027,3.853728382,4.806776296,10.62123728
0.02000000,managed,PI1,88.266543,0.6736666979,1.828123533,2.902208298,0.04218191066,0.05033346484,6.236943099
0.02000000,managed,PI2,1.453474985,88.02981893,3.397444749,5.284972073,0.0307411419,0.04255689812,1.760991225
0.02000000,managed,PI3,0.1531633486,1.373356616,84.1279387,6.612712696,0.2466630432,0.3630826476,7.123082945
0.02000000,managed,I,0.0353511967,1.62517115,11.13488961,2.28729724,0.2793190904,0.2229215677,84.41505015
0.02000000,managed,BSTAR,0.01429909756,0.4567829842,2.668892344,4.617298591,0.9001249673,1.17600294,90.16659908
